"ZIP
Code","Total
Births
2008-2010",Percent of Births,Infant and Neonatal Deaths,Teens,,,,,,,,
"Premature
Births","Low
Birth
Weight","Out of
Wedlock","Medicaid
or Self-pay","Late or No
Prenatal
Care","Infant
Deaths
2008-2010","Infant
Deaths
Rate","Neonatal
Deaths
2008-2010","Neonatal
Deaths
Rate","Teen
Birth
Rate","Teen
Pregnancy
Rate",,
11004,419,15.4,10.5,12.2,24.1,5.1,1,2.4,1,2.4,5.2,9.5
11101,1077,15.3,10.4,45.3,56.2,18.5,9,8.4,4,3.7,29.7,64.3
11102,1374,14.4,7.8,41,60,21,6,4.4,6,4.4,27.4,55
11103,1259,12.4,6.7,30,54.3,20.1,1,0.8,0,0,15.3,28.2
11104,1095,11.2,7.4,28,51.8,12.9,2,1.8,2,1.8,15.2,29.4
11105,1154,11.6,8.3,24.1,40.4,11.5,3,2.6,1,0.9,8.6,21.4
11106,1342,15,7.7,36.4,57.7,21,8,6,8,6,17.3,37
11109,211,13.4,11.4,11.8,4.7,11.3,1,4.7,1,4.7,*,*
11354,1889,10,6.4,30.7,63,8.5,5,2.6,4,2.1,12.3,27.6
11355,3615,9.1,5.4,32.8,75.9,9.5,10,2.8,8,2.2,10.6,24.9
11356,1025,10.3,6.8,35.4,57.3,9.5,6,5.9,2,2,18.9,46
11357,1191,8.1,5.8,11.8,21.1,3.9,2,1.7,1,0.8,2.3,11.3
11358,1270,9.4,6.5,22.9,42.5,5.9,1,0.8,0,0,9.5,20.6
11360,515,9,6.8,12.2,16.7,4.9,0,0,0,0,3.1,10
11361,881,8.2,5.9,17.8,30.1,2.7,3,3.4,2,2.3,3.2,11.1
11362,488,9,5.5,11.9,18.4,4.7,0,0,0,0,4.2,9.8
11363,164,7.4,7.3,9.8,22,3.7,0,0,0,0,3.1,4.6
11364,919,9.7,6.6,15.8,27.9,4.2,3,3.3,3,3.3,3.4,14.2
11365,1511,10.3,6.7,24,42.9,5.3,2,1.3,2,1.3,10,24.7
11366,479,14.7,9.4,17.7,43.6,9.7,0,0,0,0,5.6,13.6
11367,2442,9.3,7.7,19.9,37.6,4.9,9,3.7,5,2,10.8,28
11368,6859,12.5,6.3,66.5,88.1,17.1,18,2.6,13,1.9,60.8,96
11369,1626,12,6.6,63.5,79.2,15.6,9,5.5,6,3.7,39.3,68.8
11370,1164,13.3,9.8,38.5,67.1,14.6,5,4.3,3,2.6,17.4,34.1
11372,3069,12.6,6.7,47.9,72.2,16.8,11,3.6,6,2,33.3,61.9
11373,4846,11.4,6.9,47.5,80.9,18.5,25,5.2,16,3.3,29.1,53.8
11374,1658,9.4,6.8,26.6,38.7,7.4,1,0.6,0,0,7.2,22.2
11375,2647,10.1,7.1,14,20.1,6.3,9,3.4,7,2.6,4.1,16.3
11377,3624,11.1,6.2,42.8,70.6,17.1,10,2.8,7,1.9,20.4,43.4
11378,1402,10.4,6.7,33.5,50.7,10.7,8,5.7,7,5,13.8,33.5
11379,1103,9.1,4.7,20.7,29.5,5.3,3,2.7,2,1.8,8.4,21.9
11385,4374,11.3,7.1,44.6,62.4,10.5,10,2.3,7,1.6,24.7,49.9
11411,646,19.7,14.7,55.4,43.7,6.2,10,15.5,6,9.3,15.2,50.5
11412,1384,15.5,10,65.8,53.3,12.4,9,6.5,5,3.6,28.1,77.9
11413,1392,15.4,12.7,61,48.4,10.1,5,3.6,4,2.9,23.1,70.2
